id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
502129,Onion Topping,Onion Topping from Extra's and Toppings category,in stock,new,5.00 AED,https://yourwebsite.com/menu/502129,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502129,,,
502140,Parmesan Cheese,Parmesan Cheese from Extra's and Toppings category,in stock,new,9.00 AED,https://yourwebsite.com/menu/502140,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502140,,,
502134,Raspberry coulis,Raspberry coulis from Extra's and Toppings category,in stock,new,9.00 AED,https://yourwebsite.com/menu/502134,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502134,,,
502136,Raspberry fruits,Raspberry fruits from Extra's and Toppings category,in stock,new,9.00 AED,https://yourwebsite.com/menu/502136,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502136,,,
502133,Strawberry coulis,Strawberry coulis from Extra's and Toppings category,in stock,new,9.00 AED,https://yourwebsite.com/menu/502133,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502133,,,
502135,Strawberry Fruit,Strawberry Fruit from Extra's and Toppings category,in stock,new,9.00 AED,https://yourwebsite.com/menu/502135,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502135,,,
502130,Tomato Concasse,Tomato Concasse from Extra's and Toppings category,in stock,new,5.00 AED,https://yourwebsite.com/menu/502130,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502130,,,
502124,Truffle /parmesan for fries,Truffle /parmesan for fries from Extra's and Toppings category,in stock,new,19.00 AED,https://yourwebsite.com/menu/502124,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502124,,,
502126,Truffle fresh,Truffle fresh from Extra's and Toppings category,in stock,new,25.00 AED,https://yourwebsite.com/menu/502126,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502126,,,
502125,Truffle paste,Truffle paste from Extra's and Toppings category,in stock,new,25.00 AED,https://yourwebsite.com/menu/502125,http://43.205.113.48/iposapi/images/Cat632.png,Restaurant,100,,,,,all ages,,,,,502125,,,
500612,Lemon Juice,Lemon Juice from Juices category,in stock,new,29.00 AED,https://yourwebsite.com/menu/500612,http://43.205.113.48/iposapi/images/Item9812.png,Restaurant,100,,,,,all ages,,,,,500612,,,
A001034,Water 1 Ltr,Water 1 Ltr from Juices category,in stock,new,2.00 AED,https://yourwebsite.com/menu/A001034,http://43.205.113.48/iposapi/images/Item10342.png,Restaurant,100,,,,,all ages,,,,,A001034,,,
A001035,Watermelon,Watermelon from Juices category,in stock,new,15.00 AED,https://yourwebsite.com/menu/A001035,http://43.205.113.48/iposapi/images/Item10352.png,Restaurant,100,,,,,all ages,,,,,A001035,,,
A001039,mysore masala dosa,crazy masala dosa!!!,in stock,new,60.00 AED,https://yourwebsite.com/menu/A001039,http://43.205.113.48/iposapi/images/Item10392.png,Restaurant,100,,,,,all ages,,,,,A001039,,,
A001040,Fries normal,Fries normal from fries and dips category,in stock,new,5.00 AED,https://yourwebsite.com/menu/A001040,http://43.205.113.48/iposapi/images/Item10402.png,Restaurant,100,,,,,all ages,,,,,A001040,,,
A001052,Corn Flakes Breaded Chicken Nuggets,Served with Cucumber | Carrot | French Fries,in stock,new,21.00 AED,https://yourwebsite.com/menu/A001052,http://43.205.113.48/iposapi/images/Item10522.png,Restaurant,100,,,,,all ages,,,,,A001052,,,
